Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QV","Value of Agricultural Production","768","Togo","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","1962","1962","1000 SLC","12829954","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","1963","1963","1000 SLC","10098900","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","1964","1964","1000 SLC","11755333","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","1965","1965","1000 SLC","11934564","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","1966","1966","1000 SLC","15567115","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","1967","1967","1000 SLC","14205633","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","1968","1968","1000 SLC","17556667","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","1969","1969","1000 SLC","17556667","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","1970","1970","1000 SLC","27785333","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","1971","1971","1000 SLC","27785333","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","1972","1972","1000 SLC","17562773","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","1973","1973","1000 SLC","17664144","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","1974","1974","1000 SLC","19143942","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","1975","1975","1000 SLC","20623740","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","1976","1976","1000 SLC","14430053","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","1977","1977","1000 SLC","18889599","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","1978","1978","1000 SLC","21174561","E","Estimated value"
