Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"RL","Utilisation des terres","768","Togo","5110","Superficie","6680","Eaux continentales","1980","1980","1000 ha","240","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6680","Eaux continentales","1981","1981","1000 ha","240","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6680","Eaux continentales","1982","1982","1000 ha","240","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6680","Eaux continentales","1983","1983","1000 ha","240","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6680","Eaux continentales","1984","1984","1000 ha","240","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6680","Eaux continentales","1985","1985","1000 ha","240","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6680","Eaux continentales","1986","1986","1000 ha","240","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6680","Eaux continentales","1987","1987","1000 ha","240","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6680","Eaux continentales","1988","1988","1000 ha","240","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6680","Eaux continentales","1989","1989","1000 ha","240","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6680","Eaux continentales","1990","1990","1000 ha","240","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6680","Eaux continentales","1991","1991","1000 ha","240","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6680","Eaux continentales","1992","1992","1000 ha","240","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6680","Eaux continentales","1993","1993","1000 ha","240","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6680","Eaux continentales","1994","1994","1000 ha","240","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6680","Eaux continentales","1995","1995","1000 ha","240","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6680","Eaux continentales","1996","1996","1000 ha","240","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6680","Eaux continentales","1997","1997","1000 ha","240","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6680","Eaux continentales","1998","1998","1000 ha","240","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6680","Eaux continentales","1999","1999","1000 ha","240","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6680","Eaux continentales","2000","2000","1000 ha","240","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6680","Eaux continentales","2001","2001","1000 ha","240","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6680","Eaux continentales","2002","2002","1000 ha","240","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6680","Eaux continentales","2003","2003","1000 ha","240","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6680","Eaux continentales","2004","2004","1000 ha","240","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6680","Eaux continentales","2005","2005","1000 ha","240","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6680","Eaux continentales","2006","2006","1000 ha","240","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6680","Eaux continentales","2007","2007","1000 ha","240","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6680","Eaux continentales","2008","2008","1000 ha","240","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6680","Eaux continentales","2009","2009","1000 ha","240","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6680","Eaux continentales","2010","2010","1000 ha","240","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6680","Eaux continentales","2011","2011","1000 ha","240","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6680","Eaux continentales","2012","2012","1000 ha","240","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6680","Eaux continentales","2013","2013","1000 ha","240","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6680","Eaux continentales","2014","2014","1000 ha","240","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6680","Eaux continentales","2015","2015","1000 ha","240","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6680","Eaux continentales","2016","2016","1000 ha","240","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6680","Eaux continentales","2017","2017","1000 ha","240","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6680","Eaux continentales","2018","2018","1000 ha","240","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6680","Eaux continentales","2019","2019","1000 ha","240","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6680","Eaux continentales","2020","2020","1000 ha","240","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6680","Eaux continentales","2021","2021","1000 ha","240","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6680","Eaux continentales","2022","2022","1000 ha","240","I","Valeur imputée par une agence réceptrice",""
"RL","Utilisation des terres","768","Togo","5110","Superficie","6680","Eaux continentales","2023","2023","1000 ha","240","I","Valeur imputée par une agence réceptrice",""
