Code Domaine,Domaine,Code zone (M49),Zone,Code année,Année,Code Produit,Produit,Code Mois,Mois,Code Élément,Élément,Unité,Valeur,Symbole,Description du Symbole,Note
"CP","Indices de Prix à la Consommation","768","Togo","2003","2003","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7006","Juin","6125","Valeur","","67.494959","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2003","2003","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7007","Juillet","6125","Valeur","","64.058996","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2003","2003","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7008","Août","6125","Valeur","","58.828998","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2003","2003","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7009","Septembre","6125","Valeur","","57.648177","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2003","2003","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7010","Octobre","6125","Valeur","","57.206671","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2003","2003","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7011","Novembre","6125","Valeur","","57.994569","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2003","2003","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7012","Décembre","6125","Valeur","","58.889337","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2004","2004","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7001","Janvier","6125","Valeur","","60.31393","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2004","2004","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7002","Février","6125","Valeur","","59.832479","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2004","2004","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7003","Mars","6125","Valeur","","58.55903","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2004","2004","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7004","Avril","6125","Valeur","","59.634602","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2004","2004","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7005","Mai","6125","Valeur","","62.540709","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2004","2004","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7006","Juin","6125","Valeur","","63.319173","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2004","2004","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7007","Juillet","6125","Valeur","","62.970103","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2004","2004","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7008","Août","6125","Valeur","","62.519964","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2004","2004","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7009","Septembre","6125","Valeur","","58.624762","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2004","2004","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7010","Octobre","6125","Valeur","","59.459478","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2004","2004","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7011","Novembre","6125","Valeur","","61.300096","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2004","2004","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7012","Décembre","6125","Valeur","","63.244954","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2005","2005","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7001","Janvier","6125","Valeur","","64.17488","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2005","2005","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7002","Février","6125","Valeur","","64.460679","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2005","2005","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7003","Mars","6125","Valeur","","64.612386","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2005","2005","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7004","Avril","6125","Valeur","","68.896542","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2005","2005","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7005","Mai","6125","Valeur","","72.512343","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2005","2005","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7006","Juin","6125","Valeur","","72.299673","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2005","2005","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7007","Juillet","6125","Valeur","","74.266333","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2005","2005","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7008","Août","6125","Valeur","","69.833704","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2005","2005","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7009","Septembre","6125","Valeur","","65.879707","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2005","2005","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7010","Octobre","6125","Valeur","","65.749954","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2005","2005","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7011","Novembre","6125","Valeur","","64.605426","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2005","2005","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7012","Décembre","6125","Valeur","","64.705239","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2006","2006","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7001","Janvier","6125","Valeur","","67.183656","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2006","2006","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7002","Février","6125","Valeur","","66.015799","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2006","2006","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7003","Mars","6125","Valeur","","65.537448","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2006","2006","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7004","Avril","6125","Valeur","","68.755517","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2006","2006","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7005","Mai","6125","Valeur","","71.246734","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2006","2006","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7006","Juin","6125","Valeur","","71.247832","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2006","2006","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7007","Juillet","6125","Valeur","","66.225506","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2006","2006","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7008","Août","6125","Valeur","","66.942932","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2006","2006","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7009","Septembre","6125","Valeur","","67.966865","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2006","2006","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7010","Octobre","6125","Valeur","","62.782112","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2006","2006","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7011","Novembre","6125","Valeur","","63.330576","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2006","2006","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7012","Décembre","6125","Valeur","","65.821362","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2007","2007","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7001","Janvier","6125","Valeur","","68.419998","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2007","2007","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7002","Février","6125","Valeur","","66.686404","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2007","2007","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7003","Mars","6125","Valeur","","66.408175","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2007","2007","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7004","Avril","6125","Valeur","","68.125617","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2007","2007","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7005","Mai","6125","Valeur","","70.398629","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2007","2007","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7006","Juin","6125","Valeur","","70.333621","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2007","2007","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7007","Juillet","6125","Valeur","","72.977466","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2007","2007","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7008","Août","6125","Valeur","","66.54815","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2007","2007","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7009","Septembre","6125","Valeur","","64.469073","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2007","2007","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7010","Octobre","6125","Valeur","","65.907254","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2007","2007","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7011","Novembre","6125","Valeur","","72.382285","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2007","2007","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7012","Décembre","6125","Valeur","","73.004058","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2008","2008","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7001","Janvier","6125","Valeur","","75.736188","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2008","2008","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7002","Février","6125","Valeur","","74.994114","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2008","2008","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7003","Mars","6125","Valeur","","75.669938","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2008","2008","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7004","Avril","6125","Valeur","","82.004435","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2008","2008","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7005","Mai","6125","Valeur","","87.594476","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2008","2008","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7006","Juin","6125","Valeur","","87.080987","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2008","2008","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7007","Juillet","6125","Valeur","","90.331356","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2008","2008","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7008","Août","6125","Valeur","","91.375323","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2008","2008","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7009","Septembre","6125","Valeur","","80.01131","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2008","2008","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7010","Octobre","6125","Valeur","","80.847885","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2008","2008","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7011","Novembre","6125","Valeur","","80.6923","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2008","2008","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7012","Décembre","6125","Valeur","","87.621125","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2009","2009","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7001","Janvier","6125","Valeur","","88.271371","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2009","2009","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7002","Février","6125","Valeur","","86.058669","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2009","2009","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7003","Mars","6125","Valeur","","87.629832","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2009","2009","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7004","Avril","6125","Valeur","","89.598122","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2009","2009","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7005","Mai","6125","Valeur","","89.734217","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2009","2009","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7006","Juin","6125","Valeur","","91.795187","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2009","2009","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7007","Juillet","6125","Valeur","","93.92724","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2009","2009","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7008","Août","6125","Valeur","","94.281529","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2009","2009","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7009","Septembre","6125","Valeur","","92.698432","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2009","2009","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7010","Octobre","6125","Valeur","","91.152474","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2009","2009","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7011","Novembre","6125","Valeur","","91.242912","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2009","2009","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7012","Décembre","6125","Valeur","","92.099211","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2010","2010","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7001","Janvier","6125","Valeur","","91.883191","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2010","2010","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7002","Février","6125","Valeur","","90.733531","X","Chiffre de source externe","base year is 2015"
"CP","Indices de Prix à la Consommation","768","Togo","2010","2010","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7003","Mars","6125","Valeur","","91.751175","X","Chiffre de source externe","base year is 2015"
